file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-postgres\src\test-integration\java\io\airbyte\integrations\destination\postgres\typing_deduping\PostgresSqlGeneratorIntegrationTest.java,io.airbyte.integrations.destination.postgres.typing_deduping.PostgresSqlGeneratorIntegrationTest,getSqlGenerator/0,false,78,3,2,0,2,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-postgres\src\test-integration\java\io\airbyte\integrations\destination\postgres\typing_deduping\PostgresSqlGeneratorIntegrationTest.java,io.airbyte.integrations.destination.postgres.typing_deduping.PostgresSqlGeneratorIntegrationTest,getDatabase/0,false,68,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-postgres\src\test-integration\java\io\airbyte\integrations\destination\postgres\typing_deduping\PostgresSqlGeneratorIntegrationTest.java,io.airbyte.integrations.destination.postgres.typing_deduping.PostgresSqlGeneratorIntegrationTest,getSqlDialect/0,false,88,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-postgres\src\test-integration\java\io\airbyte\integrations\destination\postgres\typing_deduping\PostgresSqlGeneratorIntegrationTest.java,io.airbyte.integrations.destination.postgres.typing_deduping.PostgresSqlGeneratorIntegrationTest,teardownPostgres/0,false,63,1,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-postgres\src\test-integration\java\io\airbyte\integrations\destination\postgres\typing_deduping\PostgresSqlGeneratorIntegrationTest.java,io.airbyte.integrations.destination.postgres.typing_deduping.PostgresSqlGeneratorIntegrationTest,getStructType/0,false,73,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-postgres\src\test-integration\java\io\airbyte\integrations\destination\postgres\typing_deduping\PostgresSqlGeneratorIntegrationTest.java,io.airbyte.integrations.destination.postgres.typing_deduping.PostgresSqlGeneratorIntegrationTest,testCreateTableIncremental/0,false,99,4,1,0,1,1,14,9,0,3,0,14,1,1,0,0,0,0,1,1,3,0,0,0,0,0,20,1,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-postgres\src\test-integration\java\io\airbyte\integrations\destination\postgres\typing_deduping\PostgresSqlGeneratorIntegrationTest.java,io.airbyte.integrations.destination.postgres.typing_deduping.PostgresSqlGeneratorIntegrationTest,getDestinationHandler/0,false,83,3,3,2,1,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-postgres\src\test-integration\java\io\airbyte\integrations\destination\postgres\typing_deduping\PostgresSqlGeneratorIntegrationTest.java,io.airbyte.integrations.destination.postgres.typing_deduping.PostgresSqlGeneratorIntegrationTest,testCascadeDrop/0,false,114,4,4,0,4,1,17,7,0,1,0,17,1,1,0,0,0,0,4,0,1,0,0,0,0,1,37,1,0,true
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-postgres\src\test-integration\java\io\airbyte\integrations\destination\postgres\typing_deduping\PostgresSqlGeneratorIntegrationTest.java,io.airbyte.integrations.destination.postgres.typing_deduping.PostgresSqlGeneratorIntegrationTest,setupPostgres/0,false,46,6,4,0,4,1,11,8,0,3,0,11,0,0,0,0,0,0,2,0,6,0,0,0,0,0,18,9,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\destination-postgres\src\test-integration\java\io\airbyte\integrations\destination\postgres\typing_deduping\PostgresSqlGeneratorIntegrationTest.java,io.airbyte.integrations.destination.postgres.typing_deduping.PostgresSqlGeneratorIntegrationTest,toJsonValue/1[java.lang.String],false,93,1,0,0,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\source-mysql\src\test\java\io\airbyte\integrations\source\mysql\MySqlSourceOperationsTest.java,io.airbyte.integrations.source.mysql.MySqlSourceOperationsTest,dateTimeColumnAsCursor/0,false,59,2,1,0,1,1,4,3,0,1,0,4,0,0,0,0,0,0,2,11,0,0,0,0,0,1,11,1,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\source-mysql\src\test\java\io\airbyte\integrations\source\mysql\MySqlSourceOperationsTest.java,io.airbyte.integrations.source.mysql.MySqlSourceOperationsTest,"testImpl/7[java.lang.String,java.util.function.IntFunction<T>,java.util.function.Function<T,java.lang.String>,java.util.function.Function<T,java.lang.String>,io.airbyte.integrations.source.mysql.MysqlType,java.lang.String,java.lang.String]",false,92,6,4,0,4,6,22,34,0,13,7,22,0,0,4,0,3,0,9,5,13,1,6,0,0,0,58,2,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\source-mysql\src\test\java\io\airbyte\integrations\source\mysql\MySqlSourceOperationsTest.java,io.airbyte.integrations.source.mysql.MySqlSourceOperationsTest,timeColumnAsCursor/0,false,47,2,1,0,1,1,4,3,0,1,0,4,0,0,0,0,0,0,2,5,0,0,0,0,0,1,10,1,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\source-mysql\src\test\java\io\airbyte\integrations\source\mysql\MySqlSourceOperationsTest.java,io.airbyte.integrations.source.mysql.MySqlSourceOperationsTest,dateColumnAsCursor/0,false,35,2,1,0,1,1,4,3,0,1,0,4,0,0,0,0,0,0,2,5,0,0,0,0,0,1,10,1,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\source-mysql\src\test\java\io\airbyte\integrations\source\mysql\MySqlSourceOperationsTest.java,io.airbyte.integrations.source.mysql.MySqlSourceOperationsTest,timestampColumnAsCursor/0,false,71,2,1,0,1,1,8,3,0,2,0,8,0,0,0,0,0,0,1,4,0,1,0,0,0,2,13,1,0,false
D:\objectoriented\airbyte\airbyte-integrations\connectors\source-postgres\src\main\java\io\airbyte\integrations\source\postgres\cdc\PostgresDebeziumStateUtil.java,io.airbyte.integrations.source.postgres.cdc.PostgresDebeziumStateUtil,"isSavedOffsetAfterReplicationSlotLSN/2[io.airbyte.integrations.source.postgres.cdc.JsonNode,java.util.OptionalLong]",false,61,1,7,7,0,5,9,16,4,2,2,9,0,0,0,0,0,0,8,0,2,2,1,0,0,0,26,1,2,false
